id ,rus,en
boyarName,Боярышник,Боярышник на английском
boyarDesc,В деревне погибло XXX человек,XXX people died in the Town
ostanovkaName,Автобусная остановка,bus stop
ostanovkaDesc,Автоледи въехала на полнйо скорости в остановку. К вам отправилось ХХ душ.,The driver drove at full speed to a stop. For you to send XX souls
conName,Локальный конфликт,
conDesc,Эти люди опять что-то не поделили.Началась небольшая война.Больше неновисти - больше душ!,
secName,В мире появилась секта. ,
secDesc,Сектанские проповедники активизировались Души нас покедают!,
obrName,Уровень образования поднялся.,
obrDesc,"Образование стало доступнее, люди перестают жить инстинктами. Души уходят.",
socName,Здоровое общество.,
socDesc,"В здоровом обществе меньше конфликтов, самоубийств, жадности и озлобленности. Это очевидно плохо для нас! Души ушли.",
shName,Новое гетто!,
shDesc,"Нищета, насилие и недостаток образования создали ещё одно гетто. Количество преступников и наркоманов увеличилось. Души прибавились.",
schName,Война между двумя сектами.,
schDesc,"Они не смогли договориться о том, чья вера миролюбивее и начали убивать друг-друга. Забавно! Количество душ заметно прибавилось.",
